#Frequency,Velocity,Velstd
9.987,1686.739,0.000000000
10.652,1385.786,0.000000000
11.318,1148.492,0.000000000
11.984,952.265,0.000000000
12.650,786.788,0.000000000
13.316,662.613,0.000000000
13.981,563.544,0.000000000
14.647,481.119,0.000000000
15.313,416.612,0.000000000
15.979,369.689,0.000000000
16.644,337.432,0.000000000
17.310,316.823,0.000000000
17.976,304.211,0.000000000
18.642,294.708,0.000000000
19.308,283.242,0.000000000
19.973,269.950,0.000000000
20.639,259.678,0.000000000
21.305,251.704,0.000000000
21.971,244.997,0.000000000
22.636,239.323,0.000000000
23.302,234.693,0.000000000
23.968,230.544,0.000000000
24.634,226.577,0.000000000
25.300,222.891,0.000000000
25.965,219.524,0.000000000
26.631,216.366,0.000000000
27.297,213.490,0.000000000
27.963,210.918,0.000000000
28.628,208.765,0.000000000
29.294,206.952,0.000000000
29.960,205.512,0.000000000
30.626,204.389,0.000000000
31.292,203.444,0.000000000
31.957,202.688,0.000000000
32.623,202.110,0.000000000
33.289,201.657,0.000000000
33.955,201.280,0.000000000
34.621,201.003,0.000000000
35.286,200.829,0.000000000
35.952,200.693,0.000000000
36.618,200.527,0.000000000
37.284,200.308,0.000000000
37.949,200.200,0.000000000
38.615,200.212,0.000000000
39.281,200.432,0.000000000
39.947,200.509,0.000000000
40.613,200.527,0.000000000
41.278,200.591,0.000000000
41.944,200.717,0.000000000
42.610,200.874,0.000000000
43.276,201.051,0.000000000
43.941,201.226,0.000000000
44.607,201.325,0.000000000
45.273,201.291,0.000000000
45.939,201.103,0.000000000
46.605,200.749,0.000000000
47.270,200.240,0.000000000
47.936,199.622,0.000000000
48.602,198.944,0.000000000
49.268,198.259,0.000000000
49.933,197.646,0.000000000
