#Frequency,Velocity,Velstd
20.000,180.502,0.000000000
20.431,175.024,0.000000000
20.872,170.386,0.000000000
21.322,166.971,0.000000000
21.782,169.224,0.000000000
22.252,173.572,0.000000000
22.732,177.880,0.000000000
23.222,182.338,0.000000000
23.723,185.883,0.000000000
24.235,187.696,0.000000000
24.758,187.989,0.000000000
25.292,187.994,0.000000000
25.837,188.797,0.000000000
26.395,189.546,0.000000000
26.964,191.024,0.000000000
27.545,192.390,0.000000000
28.140,193.504,0.000000000
28.747,195.179,0.000000000
29.367,194.908,0.000000000
30.000,193.937,0.000000000
