#Frequency,Velocity,Velstd
9.987,890.000,0.000000000
10.652,818.000,0.000000000
11.318,743.000,0.000000000
11.984,672.000,0.000000000
12.650,612.000,0.000000000
13.316,564.000,0.000000000
13.981,526.000,0.000000000
14.647,494.000,0.000000000
15.313,465.000,0.000000000
15.979,438.000,0.000000000
16.644,412.000,0.000000000
17.310,387.000,0.000000000
17.976,362.000,0.000000000
18.642,337.000,0.000000000
19.308,310.000,0.000000000
19.973,284.000,0.000000000
20.639,263.000,0.000000000
21.305,249.000,0.000000000
21.971,238.000,0.000000000
22.636,230.000,0.000000000
23.302,223.000,0.000000000
23.968,218.000,0.000000000
24.634,214.000,0.000000000
25.300,211.000,0.000000000
25.965,208.000,0.000000000
26.631,206.000,0.000000000
27.297,204.000,0.000000000
27.963,202.000,0.000000000
28.628,201.000,0.000000000
29.294,199.000,0.000000000
29.960,198.000,0.000000000
30.626,197.000,0.000000000
31.292,196.000,0.000000000
31.957,195.000,0.000000000
32.623,195.000,0.000000000
33.289,194.000,0.000000000
33.955,194.000,0.000000000
34.621,193.000,0.000000000
35.286,193.000,0.000000000
35.952,193.000,0.000000000
36.618,193.000,0.000000000
37.284,193.000,0.000000000
37.949,193.000,0.000000000
38.615,193.000,0.000000000
39.281,193.000,0.000000000
39.947,193.000,0.000000000
40.613,193.000,0.000000000
41.278,193.000,0.000000000
41.944,193.000,0.000000000
42.610,193.000,0.000000000
43.276,193.000,0.000000000
43.941,192.000,0.000000000
44.607,192.000,0.000000000
45.273,192.000,0.000000000
45.939,191.000,0.000000000
46.605,191.000,0.000000000
47.270,191.000,0.000000000
