#Frequency,Velocity,Velstd
9.321,943.000,0.000000000
9.987,842.000,0.000000000
10.652,771.000,0.000000000
11.318,728.000,0.000000000
11.984,690.000,0.000000000
12.650,647.000,0.000000000
13.316,602.000,0.000000000
13.981,560.000,0.000000000
14.647,522.000,0.000000000
15.313,485.000,0.000000000
15.979,450.000,0.000000000
16.644,418.000,0.000000000
17.310,388.000,0.000000000
17.976,363.000,0.000000000
18.642,341.000,0.000000000
19.308,319.000,0.000000000
19.973,296.000,0.000000000
20.639,273.000,0.000000000
21.305,254.000,0.000000000
21.971,241.000,0.000000000
22.636,231.000,0.000000000
23.302,224.000,0.000000000
23.968,219.000,0.000000000
24.634,215.000,0.000000000
25.300,212.000,0.000000000
25.965,209.000,0.000000000
26.631,207.000,0.000000000
27.297,205.000,0.000000000
27.963,203.000,0.000000000
28.628,202.000,0.000000000
29.294,201.000,0.000000000
29.960,199.000,0.000000000
30.626,198.000,0.000000000
31.292,197.000,0.000000000
31.957,196.000,0.000000000
32.623,195.000,0.000000000
33.289,195.000,0.000000000
33.955,194.000,0.000000000
34.621,194.000,0.000000000
35.286,193.000,0.000000000
35.952,193.000,0.000000000
36.618,193.000,0.000000000
37.284,192.000,0.000000000
37.949,192.000,0.000000000
38.615,192.000,0.000000000
39.281,192.000,0.000000000
39.947,192.000,0.000000000
40.613,192.000,0.000000000
41.278,192.000,0.000000000
41.944,191.000,0.000000000
42.610,191.000,0.000000000
43.276,191.000,0.000000000
43.941,191.000,0.000000000
44.607,191.000,0.000000000
45.273,191.000,0.000000000
45.939,190.000,0.000000000
46.605,190.000,0.000000000
47.270,190.000,0.000000000
47.936,190.000,0.000000000
