-20,0,0,0,6,1,48
-15,0,0,0,7,1,48
-10,0,0,0,8,1,48
-5,0,0,0,9,1,48
0,0,0,1,10,1,48
1,0,0,1,-1,1,-1
2,0,0,1,11,1,48
3,0,0,1,-1,1,-1
4,0,0,1,12,1,48
5,0,0,1,-1,1,-1
6,0,0,1,13,1,48
7,0,0,1,-1,1,-1
8,0,0,1,14,1,48
9,0,0,1,-1,1,-1
10,0,0,1,15,1,48
11,0,0,1,-1,1,-1
12,0,0,1,16,1,48
13,0,0,1,-1,1,-1
14,0,0,1,17,1,48
15,0,0,1,-1,1,-1
16,0,0,1,18,1,48
17,0,0,1,-1,1,-1
18,0,0,1,19,1,48
19,0,0,1,-1,1,-1
20,0,0,1,20,1,48
21,0,0,1,-1,1,-1
22,0,0,1,21,1,48
23,0,0,1,-1,1,-1
24,0,0,1,22,1,48
25,0,0,1,-1,1,-1
26,0,0,1,23,1,48
27,0,0,1,-1,1,-1
28,0,0,1,24,1,48
29,0,0,1,-1,1,-1
30,0,0,1,25,1,48
31,0,0,1,-1,1,-1
32,0,0,1,26,1,48
33,0,0,1,-1,1,-1
34,0,0,1,27,1,48
35,0,0,1,-1,1,-1
36,0,0,1,28,1,48
37,0,0,1,-1,1,-1
38,0,0,1,29,1,48
39,0,0,1,-1,1,-1
40,0,0,1,30,1,48
41,0,0,1,-1,1,-1
42,0,0,1,31,1,48
43,0,0,1,-1,1,-1
44,0,0,1,-1,1,-1
45,0,0,1,32,1,48
46,0,0,1,-1,1,-1
47,0,0,1,-1,1,-1
50,0,0,0,33,1,48
55,0,0,0,34,1,48
60,0,0,0,35,1,48
65,0,0,0,36,1,48
