#Frequency,Velocity,Velstd
8.655,483.750,39.008813107
8.952,447.711,26.117635737
9.260,410.433,13.390710049
9.578,370.527,6.314241691
9.907,328.917,5.443902874
10.247,296.965,5.466384057
10.599,267.462,4.253404065
10.963,247.602,4.778344585
11.339,229.473,5.710804088
11.729,219.825,4.357805424
12.131,211.618,3.086248079
12.548,206.300,2.247608605
12.979,202.776,1.752981810
13.425,200.009,1.836299441
13.886,197.929,2.186334647
14.363,195.924,2.095808897
14.856,194.279,2.188742603
15.366,193.230,2.210275417
15.894,193.032,1.646471205
16.440,193.693,1.219790185
17.004,194.812,1.311354596
17.588,196.336,1.595742047
18.192,198.069,1.844958848
18.817,199.513,2.054779623
19.463,200.367,2.154695390
20.132,200.631,2.054687760
20.823,200.112,1.911094085
21.538,199.399,2.317724561
22.278,198.404,2.773359088
23.043,197.236,3.190873033
23.835,195.750,3.083463713
24.653,193.699,2.752478625
25.500,191.474,2.053368619
26.376,189.325,1.644224430
27.281,187.773,1.479019946
28.218,186.712,0.848363744
29.188,186.040,0.764660685
30.190,185.577,0.794345772
31.227,185.250,0.829156198
32.299,185.378,0.964203641
33.408,185.500,1.118033989
34.556,185.500,1.118033989
35.743,185.500,1.118033989
36.970,185.368,0.951778464
38.240,185.250,0.829156198
39.553,185.602,0.987368032
40.911,186.000,0.707106781
42.317,186.280,0.546397528
43.770,186.871,0.128723862
45.273,187.750,0.433012702
