#Frequency,Velocity,Velstd
7.989,435.000,0.000000000
8.655,368.000,0.000000000
9.321,297.000,0.000000000
9.987,256.000,0.000000000
10.652,234.000,0.000000000
11.318,229.000,0.000000000
11.984,224.000,0.000000000
12.650,219.000,0.000000000
13.316,214.000,0.000000000
13.981,209.000,0.000000000
14.647,204.000,0.000000000
15.313,198.000,0.000000000
15.979,193.000,0.000000000
16.644,189.000,0.000000000
17.310,187.000,0.000000000
17.976,187.000,0.000000000
18.642,187.000,0.000000000
19.308,188.000,0.000000000
19.973,189.000,0.000000000
20.639,189.000,0.000000000
21.305,189.000,0.000000000
21.971,188.000,0.000000000
22.636,187.000,0.000000000
23.302,186.000,0.000000000
23.968,184.000,0.000000000
24.634,182.000,0.000000000
25.300,181.000,0.000000000
25.965,179.000,0.000000000
26.631,179.000,0.000000000
27.297,178.000,0.000000000
27.963,178.000,0.000000000
28.628,178.000,0.000000000
29.294,178.000,0.000000000
29.960,178.000,0.000000000
30.626,178.000,0.000000000
31.292,178.000,0.000000000
31.957,179.000,0.000000000
32.623,179.000,0.000000000
33.289,179.000,0.000000000
33.955,180.000,0.000000000
34.621,180.000,0.000000000
35.286,181.000,0.000000000
35.952,181.000,0.000000000
36.618,182.000,0.000000000
37.284,182.000,0.000000000
37.949,183.000,0.000000000
38.615,184.000,0.000000000
39.281,186.000,0.000000000
39.947,187.000,0.000000000
40.613,187.000,0.000000000
41.278,188.000,0.000000000
41.944,188.000,0.000000000
42.610,189.000,0.000000000
43.276,190.000,0.000000000
43.941,190.000,0.000000000
44.607,191.000,0.000000000
45.273,191.000,0.000000000
45.939,192.000,0.000000000
46.605,192.000,0.000000000
