#Frequency,Velocity,Velstd
7.324,3368.454,0.000000000
7.989,2008.703,0.000000000
8.655,1469.934,0.000000000
9.321,2847.068,0.000000000
9.987,2271.965,0.000000000
10.652,1814.697,0.000000000
11.318,1474.367,0.000000000
11.984,1269.784,0.000000000
12.650,1069.229,0.000000000
13.316,872.128,0.000000000
13.981,711.099,0.000000000
14.647,590.416,0.000000000
15.313,505.408,0.000000000
15.979,441.489,0.000000000
16.644,396.185,0.000000000
17.310,360.380,0.000000000
17.976,332.801,0.000000000
18.642,309.864,0.000000000
19.308,287.918,0.000000000
19.973,267.555,0.000000000
20.639,250.878,0.000000000
21.305,239.350,0.000000000
21.971,231.023,0.000000000
22.636,224.889,0.000000000
23.302,220.197,0.000000000
23.968,216.564,0.000000000
24.634,213.583,0.000000000
25.300,211.117,0.000000000
25.965,209.138,0.000000000
26.631,207.440,0.000000000
27.297,206.100,0.000000000
27.963,204.898,0.000000000
28.628,203.840,0.000000000
29.294,202.858,0.000000000
29.960,201.974,0.000000000
30.626,201.239,0.000000000
31.292,200.564,0.000000000
31.957,200.000,0.000000000
32.623,199.472,0.000000000
33.289,199.068,0.000000000
33.955,198.693,0.000000000
34.621,198.181,0.000000000
35.286,197.822,0.000000000
35.952,197.440,0.000000000
36.618,197.131,0.000000000
37.284,196.874,0.000000000
37.949,196.667,0.000000000
38.615,196.524,0.000000000
39.281,196.432,0.000000000
39.947,196.366,0.000000000
40.613,196.258,0.000000000
41.278,196.164,0.000000000
41.944,196.009,0.000000000
42.610,195.811,0.000000000
43.276,195.636,0.000000000
43.941,195.441,0.000000000
44.607,195.282,0.000000000
45.273,195.232,0.000000000
45.939,195.365,0.000000000
46.605,195.584,0.000000000
47.270,195.928,0.000000000
47.936,196.453,0.000000000
48.602,197.057,0.000000000
49.268,197.648,0.000000000
49.933,198.296,0.000000000
