#Frequency,Velocity,Velstd
1.997,67.285,0.000000000
2.663,105.071,0.000000000
3.329,135.624,0.000000000
3.995,173.291,0.000000000
4.660,207.303,0.000000000
5.326,253.069,0.000000000
5.992,295.420,0.000000000
6.658,311.433,0.000000000
7.324,315.850,0.000000000
7.989,332.081,0.000000000
8.655,345.098,0.000000000
9.321,356.534,0.000000000
9.987,367.562,0.000000000
10.652,353.798,0.000000000
11.318,335.501,0.000000000
11.984,319.052,0.000000000
12.650,300.701,0.000000000
13.316,277.189,0.000000000
13.981,258.395,0.000000000
14.647,249.563,0.000000000
15.313,245.076,0.000000000
15.979,240.286,0.000000000
16.644,235.443,0.000000000
17.310,228.101,0.000000000
17.976,218.062,0.000000000
18.642,214.110,0.000000000
19.308,209.582,0.000000000
19.973,205.231,0.000000000
20.639,201.476,0.000000000
21.305,198.418,0.000000000
21.971,195.422,0.000000000
22.636,193.364,0.000000000
23.302,191.991,0.000000000
23.968,191.088,0.000000000
24.634,190.460,0.000000000
25.300,189.995,0.000000000
25.965,189.670,0.000000000
26.631,189.409,0.000000000
27.297,188.929,0.000000000
27.963,188.458,0.000000000
28.628,188.091,0.000000000
29.294,187.761,0.000000000
29.960,187.474,0.000000000
30.626,187.135,0.000000000
31.292,186.945,0.000000000
31.957,186.809,0.000000000
32.623,186.610,0.000000000
33.289,186.610,0.000000000
33.955,186.614,0.000000000
34.621,186.684,0.000000000
35.286,186.608,0.000000000
35.952,186.724,0.000000000
36.618,186.892,0.000000000
37.284,186.828,0.000000000
37.949,187.026,0.000000000
38.615,187.192,0.000000000
39.281,187.208,0.000000000
39.947,187.281,0.000000000
40.613,187.397,0.000000000
41.278,187.440,0.000000000
41.944,187.388,0.000000000
42.610,187.340,0.000000000
43.276,187.442,0.000000000
43.941,187.316,0.000000000
44.607,187.281,0.000000000
45.273,187.153,0.000000000
45.939,187.141,0.000000000
46.605,186.978,0.000000000
47.270,186.950,0.000000000
47.936,186.929,0.000000000
48.602,186.774,0.000000000
49.268,186.531,0.000000000
49.933,186.394,0.000000000
50.599,186.327,0.000000000
51.265,186.067,0.000000000
51.931,185.517,0.000000000
52.597,185.212,0.000000000
53.262,191.108,0.000000000
53.928,201.175,0.000000000
54.594,247.417,0.000000000
55.260,394.267,0.000000000
55.925,423.766,0.000000000
56.591,249.941,0.000000000
57.257,225.068,0.000000000
57.923,201.231,0.000000000
58.589,201.111,0.000000000
59.254,199.808,0.000000000
59.920,200.041,0.000000000
60.586,197.071,0.000000000
61.252,196.224,0.000000000
61.917,191.299,0.000000000
62.583,194.541,0.000000000
63.249,194.550,0.000000000
63.915,195.057,0.000000000
64.581,198.177,0.000000000
65.246,206.796,0.000000000
65.912,208.642,0.000000000
66.578,218.339,0.000000000
67.244,227.366,0.000000000
67.909,240.060,0.000000000
68.575,256.663,0.000000000
69.241,273.919,0.000000000
69.907,286.047,0.000000000
70.573,362.450,0.000000000
71.238,445.983,0.000000000
71.904,610.389,0.000000000
72.570,921.850,0.000000000
73.236,1485.884,0.000000000
73.901,1500.721,0.000000000
74.567,1023.473,0.000000000
75.233,818.157,0.000000000
75.899,687.633,0.000000000
76.565,588.318,0.000000000
77.230,555.115,0.000000000
77.896,513.183,0.000000000
78.562,525.537,0.000000000
79.228,540.091,0.000000000
79.893,526.101,0.000000000
