#Frequency,Velocity,Velstd
1.997,60.554,0.000000000
2.663,88.869,0.000000000
3.329,112.480,0.000000000
3.995,143.783,0.000000000
4.660,173.725,0.000000000
5.326,216.093,0.000000000
5.992,266.828,0.000000000
6.658,278.134,0.000000000
7.324,286.235,0.000000000
7.989,300.309,0.000000000
8.655,308.256,0.000000000
9.321,309.866,0.000000000
9.987,297.761,0.000000000
10.652,273.409,0.000000000
11.318,260.803,0.000000000
11.984,249.238,0.000000000
12.650,236.295,0.000000000
13.316,226.036,0.000000000
13.981,218.155,0.000000000
14.647,212.704,0.000000000
15.313,209.682,0.000000000
15.979,207.013,0.000000000
16.644,203.953,0.000000000
17.310,199.617,0.000000000
17.976,194.863,0.000000000
18.642,192.626,0.000000000
19.308,190.303,0.000000000
19.973,188.657,0.000000000
20.639,187.196,0.000000000
21.305,186.149,0.000000000
21.971,184.984,0.000000000
22.636,184.060,0.000000000
23.302,183.479,0.000000000
23.968,183.197,0.000000000
24.634,182.945,0.000000000
25.300,182.622,0.000000000
25.965,182.503,0.000000000
26.631,182.505,0.000000000
27.297,182.099,0.000000000
27.963,181.849,0.000000000
28.628,181.785,0.000000000
29.294,181.776,0.000000000
29.960,181.734,0.000000000
30.626,181.609,0.000000000
31.292,181.723,0.000000000
31.957,181.847,0.000000000
32.623,181.809,0.000000000
33.289,182.059,0.000000000
33.955,182.241,0.000000000
34.621,182.575,0.000000000
35.286,182.730,0.000000000
35.952,182.983,0.000000000
36.618,183.371,0.000000000
37.284,183.467,0.000000000
37.949,183.861,0.000000000
38.615,184.109,0.000000000
39.281,184.219,0.000000000
39.947,184.380,0.000000000
40.613,184.639,0.000000000
41.278,184.700,0.000000000
41.944,184.785,0.000000000
42.610,184.787,0.000000000
43.276,184.959,0.000000000
43.941,184.908,0.000000000
44.607,184.974,0.000000000
45.273,184.949,0.000000000
45.939,184.979,0.000000000
46.605,184.944,0.000000000
47.270,184.938,0.000000000
47.936,184.977,0.000000000
48.602,184.890,0.000000000
49.268,184.754,0.000000000
49.933,184.686,0.000000000
50.599,184.631,0.000000000
51.265,184.477,0.000000000
51.931,184.106,0.000000000
52.597,183.908,0.000000000
53.262,199.909,0.000000000
53.928,223.019,0.000000000
54.594,284.365,0.000000000
55.260,495.245,0.000000000
55.925,525.410,0.000000000
56.591,277.694,0.000000000
57.257,251.762,0.000000000
57.923,224.708,0.000000000
58.589,226.016,0.000000000
59.254,222.062,0.000000000
59.920,223.256,0.000000000
60.586,215.915,0.000000000
61.252,212.335,0.000000000
61.917,198.318,0.000000000
62.583,208.901,0.000000000
63.249,209.531,0.000000000
63.915,211.441,0.000000000
64.581,212.631,0.000000000
65.246,230.671,0.000000000
65.912,227.127,0.000000000
66.578,234.350,0.000000000
67.244,245.772,0.000000000
67.909,262.731,0.000000000
68.575,292.878,0.000000000
69.241,314.062,0.000000000
69.907,334.082,0.000000000
70.573,432.384,0.000000000
71.238,532.997,0.000000000
71.904,716.944,0.000000000
72.570,1030.680,0.000000000
73.236,1589.761,0.000000000
73.901,1596.614,0.000000000
74.567,1106.646,0.000000000
75.233,925.501,0.000000000
75.899,794.442,0.000000000
76.565,663.192,0.000000000
77.230,634.354,0.000000000
77.896,589.526,0.000000000
78.562,610.584,0.000000000
79.228,625.853,0.000000000
79.893,620.211,0.000000000
