#Frequency,Velocity,Velstd
1.997,71.698,0.000000000
2.663,122.629,0.000000000
3.329,158.510,0.000000000
3.995,200.955,0.000000000
4.660,231.844,0.000000000
5.326,279.237,0.000000000
5.992,331.667,0.000000000
6.658,369.371,0.000000000
7.324,377.225,0.000000000
7.989,399.797,0.000000000
8.655,422.476,0.000000000
9.321,439.015,0.000000000
9.987,471.056,0.000000000
10.652,463.223,0.000000000
11.318,435.296,0.000000000
11.984,415.584,0.000000000
12.650,392.578,0.000000000
13.316,349.447,0.000000000
13.981,311.608,0.000000000
14.647,297.232,0.000000000
15.313,290.089,0.000000000
15.979,282.027,0.000000000
16.644,274.332,0.000000000
17.310,263.559,0.000000000
17.976,246.166,0.000000000
18.642,240.817,0.000000000
19.308,233.215,0.000000000
19.973,225.426,0.000000000
20.639,218.876,0.000000000
21.305,213.710,0.000000000
21.971,208.373,0.000000000
22.636,204.714,0.000000000
23.302,202.240,0.000000000
23.968,200.360,0.000000000
24.634,198.821,0.000000000
25.300,197.595,0.000000000
25.965,196.643,0.000000000
26.631,195.810,0.000000000
27.297,194.877,0.000000000
27.963,194.043,0.000000000
28.628,193.244,0.000000000
29.294,192.593,0.000000000
29.960,192.010,0.000000000
30.626,191.406,0.000000000
31.292,190.954,0.000000000
31.957,190.583,0.000000000
32.623,190.163,0.000000000
33.289,189.931,0.000000000
33.955,189.718,0.000000000
34.621,189.593,0.000000000
35.286,189.349,0.000000000
35.952,189.259,0.000000000
36.618,189.219,0.000000000
37.284,188.989,0.000000000
37.949,189.030,0.000000000
38.615,188.977,0.000000000
39.281,188.919,0.000000000
39.947,188.833,0.000000000
40.613,188.905,0.000000000
41.278,188.806,0.000000000
41.944,188.729,0.000000000
42.610,188.684,0.000000000
43.276,188.778,0.000000000
43.941,188.631,0.000000000
44.607,188.524,0.000000000
45.273,188.421,0.000000000
45.939,188.473,0.000000000
46.605,188.208,0.000000000
47.270,188.118,0.000000000
47.936,188.109,0.000000000
48.602,188.010,0.000000000
49.268,187.699,0.000000000
49.933,187.694,0.000000000
50.599,187.723,0.000000000
51.265,187.549,0.000000000
51.931,186.971,0.000000000
52.597,186.837,0.000000000
53.262,191.451,0.000000000
53.928,196.764,0.000000000
54.594,221.903,0.000000000
55.260,316.826,0.000000000
55.925,340.299,0.000000000
56.591,224.947,0.000000000
57.257,210.313,0.000000000
57.923,197.166,0.000000000
58.589,196.774,0.000000000
59.254,196.268,0.000000000
59.920,196.271,0.000000000
60.586,193.667,0.000000000
61.252,193.808,0.000000000
61.917,191.028,0.000000000
62.583,192.703,0.000000000
63.249,192.757,0.000000000
63.915,193.052,0.000000000
64.581,195.473,0.000000000
65.246,200.287,0.000000000
65.912,202.017,0.000000000
66.578,206.107,0.000000000
67.244,210.443,0.000000000
67.909,216.789,0.000000000
68.575,225.193,0.000000000
69.241,235.426,0.000000000
69.907,243.691,0.000000000
70.573,299.047,0.000000000
71.238,370.594,0.000000000
71.904,512.911,0.000000000
72.570,810.142,0.000000000
73.236,1401.827,0.000000000
73.901,1419.339,0.000000000
74.567,923.191,0.000000000
75.233,707.600,0.000000000
75.899,587.040,0.000000000
76.565,510.575,0.000000000
77.230,472.285,0.000000000
77.896,430.864,0.000000000
78.562,443.790,0.000000000
79.228,455.310,0.000000000
79.893,434.637,0.000000000
