#Frequency,Velocity,Velstd
1.997,63.122,0.000000000
2.663,126.880,0.000000000
3.329,160.252,0.000000000
3.995,197.204,0.000000000
4.660,230.959,0.000000000
5.326,282.204,0.000000000
5.992,344.166,0.000000000
6.658,436.416,0.000000000
7.324,448.443,0.000000000
7.989,465.483,0.000000000
8.655,508.494,0.000000000
9.321,540.346,0.000000000
9.987,565.619,0.000000000
10.652,575.953,0.000000000
11.318,559.298,0.000000000
11.984,553.301,0.000000000
12.650,530.945,0.000000000
13.316,469.528,0.000000000
13.981,409.416,0.000000000
14.647,388.226,0.000000000
15.313,380.181,0.000000000
15.979,369.398,0.000000000
16.644,362.824,0.000000000
17.310,345.547,0.000000000
17.976,286.717,0.000000000
18.642,284.821,0.000000000
19.308,271.456,0.000000000
19.973,256.438,0.000000000
20.639,245.333,0.000000000
21.305,236.901,0.000000000
21.971,224.424,0.000000000
22.636,217.719,0.000000000
23.302,214.307,0.000000000
23.968,211.117,0.000000000
24.634,208.113,0.000000000
25.300,205.554,0.000000000
25.965,203.578,0.000000000
26.631,201.934,0.000000000
27.297,200.294,0.000000000
27.963,199.128,0.000000000
28.628,197.603,0.000000000
29.294,196.651,0.000000000
29.960,195.766,0.000000000
30.626,194.879,0.000000000
31.292,194.319,0.000000000
31.957,193.792,0.000000000
32.623,193.104,0.000000000
33.289,192.656,0.000000000
33.955,192.500,0.000000000
34.621,192.434,0.000000000
35.286,191.835,0.000000000
35.952,191.878,0.000000000
36.618,191.884,0.000000000
37.284,191.159,0.000000000
37.949,191.358,0.000000000
38.615,191.013,0.000000000
39.281,190.988,0.000000000
39.947,190.486,0.000000000
40.613,190.921,0.000000000
41.278,190.381,0.000000000
41.944,190.506,0.000000000
42.610,190.421,0.000000000
43.276,190.712,0.000000000
43.941,190.567,0.000000000
44.607,190.246,0.000000000
45.273,190.307,0.000000000
45.939,190.412,0.000000000
46.605,189.777,0.000000000
47.270,189.408,0.000000000
47.936,189.602,0.000000000
48.602,189.673,0.000000000
49.268,188.792,0.000000000
49.933,189.025,0.000000000
50.599,189.358,0.000000000
51.265,189.473,0.000000000
51.931,188.019,0.000000000
52.597,188.584,0.000000000
53.262,192.739,0.000000000
53.928,195.067,0.000000000
54.594,206.516,0.000000000
55.260,269.687,0.000000000
55.925,301.711,0.000000000
56.591,209.844,0.000000000
57.257,203.710,0.000000000
57.923,196.463,0.000000000
58.589,195.681,0.000000000
59.254,194.887,0.000000000
59.920,194.704,0.000000000
60.586,190.568,0.000000000
61.252,193.302,0.000000000
61.917,191.114,0.000000000
62.583,192.037,0.000000000
63.249,192.726,0.000000000
63.915,192.934,0.000000000
64.581,194.460,0.000000000
65.246,196.738,0.000000000
65.912,198.920,0.000000000
66.578,198.581,0.000000000
67.244,201.401,0.000000000
67.909,200.602,0.000000000
68.575,204.636,0.000000000
69.241,214.009,0.000000000
69.907,229.154,0.000000000
70.573,265.652,0.000000000
71.238,321.263,0.000000000
71.904,438.183,0.000000000
72.570,726.672,0.000000000
73.236,1337.678,0.000000000
73.901,1335.878,0.000000000
74.567,854.965,0.000000000
75.233,639.387,0.000000000
75.899,491.614,0.000000000
76.565,427.713,0.000000000
77.230,393.410,0.000000000
77.896,363.357,0.000000000
78.562,386.805,0.000000000
79.228,400.605,0.000000000
79.893,391.522,0.000000000
